DEVICE,Tester Type,Tester Config,Handler,Handler Config,Temperature,LogPoint,PPH
TPS2553DRVR,EAGLE,EAGLE,,,,,31506
TPS2553DRVR-1,EAGLE,EAGLE,,,,,27501
TPS2553DRVT,EAGLE,EAGLE,,,,,31506
TPS2553DRVT-1,EAGLE,EAGLE,,,,,27501
TPS2554DRCR,EAGLE,EAGLE,,,,,3785
TPS2554DRCT,EAGLE,EAGLE,,,,,3785
TPS2555DRCR,EAGLE,EAGLE,,,,,3785
TPS2555DRCT,EAGLE,EAGLE,,,,,3785
TPS2556DRBR,EAGLE,EAGLE,,,,,5899
TPS2556DRBT,EAGLE,EAGLE,,,,,5899
TPS2556QDRBRQ1,EAGLE,EAGLE,,,,,5598
TPS2557DRBR,EAGLE,EAGLE,,,,,6003
TPS2557DRBR,EAGLE,EAGLE,,,,,11122
TPS2557DRBT,EAGLE,EAGLE,,,,,6003
TPS2557DRBT,EAGLE,EAGLE,,,,,11122
TPS2557QDRBRQ1,EAGLE,EAGLE,,,,,5598
TPS2559DRCR,EAGLE,EAGLE,,,,,4514
TPS2560ADRCR,EAGLE,EAGLE,,,,,5557
TPS2560ADRCT,EAGLE,EAGLE,,,,,5557
TPS2560DRCR,EAGLE,EAGLE,,,,,5616
TPS2560DRCR,EAGLE,EAGLE,,,,,12936
TPS2560DRCT,EAGLE,EAGLE,,,,,12936
TPS2560DRCT,EAGLE,EAGLE,,,,,5616
TPS2561ADRCR,EAGLE,EAGLE,,,,,5794
TPS2561ADRCT,EAGLE,EAGLE,,,,,5794
TPS2561AQDRCRQ1,EAGLE,EAGLE,,,,,5147
TPS2561DRCR,EAGLE,EAGLE,,,,,5596
TPS2561DRCR,EAGLE,EAGLE,,,,,12936
TPS2561DRCT,EAGLE,EAGLE,,,,,5596
TPS2561DRCT,EAGLE,EAGLE,,,,,12936
TPS2590RSAR,EAGLE,EAGLE,,,,,2319
TPS2590RSAT,EAGLE,EAGLE,,,,,2319
TPS25910RSAR,EAGLE,EAGLE,,,,,2691
TPS25910RSAT,EAGLE,EAGLE,,,,,2691
TPS2592AADRCR,EAGLE,EAGLE,,,,,2336
TPS2592AADRCT,EAGLE,EAGLE,,,,,2336
TPS2592ALDRCR,EAGLE,EAGLE,,,,,2155
TPS2592ALDRCT,EAGLE,EAGLE,,,,,2155
TPS2592BADRCR,EAGLE,EAGLE,,,,,2412
TPS2592BADRCT,EAGLE,EAGLE,,,,,2412
TPS2592BLDRCR,EAGLE,EAGLE,,,,,2287
TPS2592BLDRCT,EAGLE,EAGLE,,,,,2287
TPS2592ZADRCR,EAGLE,EAGLE,,,,,2220
TPS2592ZADRCT,EAGLE,EAGLE,,,,,2220
TPS25940ARVCR,EAGLE,EAGLE,,,,,1320
TPS25940LRVCR,EAGLE,EAGLE,,,,,1320
TPS25942ARVCR,EAGLE,EAGLE,,,,,1320
TPS25944LRVCR,EAGLE,EAGLE,,,,,1189
TPS28225DRBR,EAGLE,EAGLE,,,,,3640
TPS28225DRBT,EAGLE,EAGLE,,,,,3640
TPS3808G25DRVR,EAGLE,EAGLE,,,,,38640
TPS40040DRBR,EAGLE,EAGLE,,,,,2718
TPS40040DRBT,EAGLE,EAGLE,,,,,2718
TPS40041DRBR,EAGLE,EAGLE,,,,,2690
TPS40041DRBT,EAGLE,EAGLE,,,,,2690
TPS40100RGER,EAGLE,EAGLE,,,,,1654
TPS40100RGET,EAGLE,EAGLE,,,,,1654
TPS40140RHHR,EAGLE,EAGLE,,,,,1318
TPS40140RHHT,EAGLE,EAGLE,,,,,1318
TPS40180RGER,EAGLE,EAGLE,,,,,2224
TPS40190DRCR,EAGLE,EAGLE,,,,,4529
TPS40190DRCT,EAGLE,EAGLE,,,,,4529
TPS40192DRCR,EAGLE,EAGLE,,,,,4101
